virus tax id	virus name 	virusqueryname	virus lineage	host tax id	host name	hostlineage	source
1458726	20ES	Mycobacterium phage 20ES	"['Mycobacterium phage 20ES', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
373403	244	Mycobacterium phage 244	"['Mycobacterium virus 244', 'Kostyavirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1445729	32HC	Mycobacterium phage 32HC	"['Mycobacterium phage 32HC', 'Mycobacterium virus 32HC', 'Trigintaduovirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1463809	39HC	Mycobacterium phage 39HC	"['Mycobacterium phage 39HC', 'unclassified Bclasvirinae', 'Bclasvirinae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1458717	40AC	Mycobacterium phage 40AC	"['Mycobacterium phage 40AC', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1463810	40BC	Mycobacterium phage 40BC	"['Mycobacterium phage 40BC', 'unclassified Bclasvirinae', 'Bclasvirinae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1690426	Aaronocolus	Streptomyces phage Aaronocolus	"['Streptomyces phage Aaronocolus', 'Streptomyces virus Aaronocolus', 'Likavirus', 'Arquatrovirinae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1911	Streptomyces griseus ATCC 10137	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2059880	AbbeyMikolon	Streptomyces phage AbbeyMikolon	"['Streptomyces phage AbbeyMikolon', 'unclassified Siphoviridae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1916	Streptomyces lividans JI 1326	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2163589	AbbyPaige	Mycobacterium phage AbbyPaige	"['Mycobacterium phage AbbyPaige', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2652418	AbbysRanger	Mycobacterium phage AbbysRanger	"['Mycobacterium phage AbbysRanger', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1358124	ABCat	Mycobacterium phage ABCat	"['Mycobacterium phage ABCat', 'unclassified Kostyavirus', 'Kostyavirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1916112	Abdiel	Mycobacterium phage Abdiel	"['Mycobacterium phage Abdiel', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2015853	Abidatro	Arthrobacter phage Abidatro	"['Arthrobacter phage Abidatro', 'Arthrobacter virus Abidatro', 'Galaxyvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1771959	Arthrobacter sp.  ATCC 21022	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1763	Abinghost	Mycobacterium	"['Mycobacterium', 'Mycobacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1551710	Abrogate	Mycobacterium phage Abrogate	"['Mycobacterium phage Abrogate', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2593343	AbsoluteMadLad	Mycobacterium phage AbsoluteMadLad	"['Mycobacterium phage AbsoluteMadLad', 'unclassified Pegunavirus', 'Pegunavirus', 'Bclasvirinae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2041353	Abt2graduatex2	Streptomyces phage Abt2graduatex2	"['Streptomyces phage Abt2graduatex2', 'unclassified Woodruffvirus', 'Woodruffvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1911	Streptomyces griseus ATCC 10137	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1034126	ABU	Mycobacterium phage ABU	"['Mycobacterium phage ABU', 'Mycobacterium virus Pg1', 'Pegunavirus', 'Bclasvirinae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1982901	Acadian	Mycobacterium phage Acadian	"['Mycobacterium virus Acadian', 'Acadianvirus', 'Bclasvirinae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2500573	ACFishhook	Mycobacterium phage ACFishhook	"['Mycobacterium phage ACFishhook', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1916113	Achebe	Mycobacterium phage Achebe	"['Mycobacterium phage Achebe', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2079563	Acme	Mycobacterium phage Acme	"['Mycobacterium phage Acme', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2250290	Acolyte	Mycobacterium phage Acolyte	"['Mycobacterium phage Acolyte', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2499030	Acquire49	Mycobacterium phage Acquire49	"['Mycobacterium phage Acquire49', 'unclassified Bronvirus', 'Bronvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2126944	ActinUp	Mycobacterium phage ActinUp	"['Mycobacterium phage ActinUp', 'unclassified Timquatrovirus', 'Timquatrovirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2301546	Adahisdi	Mycobacterium phage Adahisdi	"['Mycobacterium phage Adahisdi', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2419945	Adaia	Arthrobacter phage Adaia	"['Arthrobacter phage Adaia', 'unclassified Siphoviridae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	43666	Arthrobacter sulfureus NRRL B-14730	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2027883	Adat	Arthrobacter phage Adat	"['Arthrobacter phage Adat', 'Arthrobacter virus Adat', 'Jasminevirus', 'Podoviridae', 'Caudovirales', 'Viruses']"	1771959	Arthrobacter sp.  ATCC 21022	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2588499	Adelaide	Corynebacterium phage Adelaide	"['Corynebacterium phage Adelaide', 'unclassified Siphoviridae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1725	Corynebacterium xerosis ATCC 373	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1034127	Adephagia	Mycobacterium phage Adephagia	"['Mycobacterium phage Adephagia', 'unclassified Timquatrovirus', 'Timquatrovirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2079413	Adgers	Gordonia phage Adgers	"['Gordonia phage Adgers', 'unclassified Woesvirus', 'Woesvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	2055	Gordonia terrae 3612	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2502471	Ading	Mycobacterium phage Ading	"['Mycobacterium phage Ading', 'unclassified Bixzunavirus', 'Bixzunavirus', 'Myoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
528321	Adjutor	Mycobacterium phage Adjutor	"['Mycobacterium phage Adjutor', 'Mycobacterium virus PBI1', 'Pbi1virus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2510582	Adlitam	Mycobacterium phage Adlitam	"['Mycobacterium phage Adlitam', 'unclassified Bixzunavirus', 'Bixzunavirus', 'Myoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2250354	Adnama	Mycobacterium phage Adnama	"['Mycobacterium phage Adnama', 'unclassified Kostyavirus', 'Kostyavirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1763	Adolin	Mycobacterium	"['Mycobacterium', 'Mycobacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	37927	Arthrobacter atrocyaneus NRRL B-2883	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2108121	Adonis	Mycobacterium phage Adonis	"['Mycobacterium phage Adonis', 'unclassified Timquatrovirus', 'Timquatrovirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2488781	Adora	Gordonia phage Adora	"['Gordonia phage Adora', 'unclassified Siphoviridae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	2055	Gordonia terrae 3612	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1383059	Adzzy	Mycobacterium phage Adzzy	"['Mycobacterium phage Adzzy', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1168595	Aeneas	Mycobacterium phage Aeneas	"['Mycobacterium phage Aeneas', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2483664	Affeca	Gordonia phage Affeca	"['Gordonia phage Affeca', 'unclassified Vividuovirus', 'Vividuovirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	2055	Gordonia terrae 3612	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2502418	AFIS	Mycobacterium phage AFIS	"['Mycobacterium phage AFIS', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2584490	Agatha	Gordonia phage Agatha	"['Gordonia phage Agatha', 'unclassified Emalynvirus', 'Emalynvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	2055	Gordonia terrae 3612	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2047833	AgentM	Mycobacterium phage AgentM	"['Mycobacterium phage AgentM', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2301547	Aggie	Mycobacterium phage Aggie	"['Mycobacterium phage Aggie', 'unclassified Redivirus', 'Redivirus', 'Nclasvirinae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1873697	Aglet	Mycobacterium phage Aglet	"['Mycobacterium phage Aglet', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1763	AgronaGT15	Mycobacterium	"['Mycobacterium', 'Mycobacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
